model,resampler,fold,test_subjects,best_params,inner_best_f1,strategy,n_features,n_inner,f1,precision,recall,roc_auc,auprc,train_time_s,pred_time_s,model_size_bytes
LGBM,RandomUnder,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 31}",0.5772259145313777,absolute,49,5,0.6666666666666666,0.6632653061224489,0.6701030927835051,0.7774591116967676,0.6857681209705044,0.35721778869628906,0.007457733154296875,686432
LGBM,RandomUnder,3,"['S09', 'S18', 'f15']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 10, 'num_leaves': 50}",0.5844132996560516,absolute,49,5,0.6166666666666667,0.49333333333333335,0.8222222222222222,0.673960983884648,0.5917339780456801,0.6509613990783691,0.010145902633666992,1410143
LGBM,RandomUnder,4,"['S15', 'S17', 'f04']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.6108129056367912,absolute,49,5,0.41025641025641024,0.5614035087719298,0.32323232323232326,0.5532245532245531,0.5394130689600145,0.2690284252166748,0.008015871047973633,654261
LGBM,RandomUnder,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'num_leaves': 50}",0.5585890191676766,absolute,49,5,0.5904059040590406,0.5633802816901409,0.6201550387596899,0.5649916943521595,0.5908564857573702,0.4273560047149658,0.00651240348815918,970212
LGBM,RandomUnder,6,"['S01', 'S05', 'f01']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 50}",0.5468628045669156,absolute,49,5,0.7563025210084033,0.743801652892562,0.7692307692307693,0.742684766214178,0.799525109459633,0.6172823905944824,0.009874343872070312,1383047
LGBM,RandomUnder,7,"['S03', 'f09', 'f10']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 31}",0.545942500971339,absolute,49,5,0.6410256410256411,0.5859375,0.7075471698113207,0.6831246693704814,0.7109445262958145,0.3658146858215332,0.0070133209228515625,698960
LGBM,RandomUnder,8,"['S04', 'f08', 'f16']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 50}",0.5542437690211632,absolute,49,5,0.5948717948717949,0.651685393258427,0.5471698113207547,0.6929082628497073,0.670303953445966,0.3106198310852051,0.007109403610229492,775892
LGBM,RandomUnder,9,"['S16', 'f02', 'f11']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 31}",0.5987798596059724,absolute,49,5,0.4978165938864629,0.4351145038167939,0.5816326530612245,0.4738675958188153,0.4269760398807181,0.36850976943969727,0.007517814636230469,697362
LGBM,RandomUnder,10,"['S06', 'f06', 'f18']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 50}",0.5670379388645185,absolute,49,5,0.6224489795918368,0.6777777777777778,0.5754716981132075,0.6673715029277814,0.6130036737515001,0.3709423542022705,0.0074615478515625,805480

